Team,Elo,Massey,Premier League
              Chelsea ,1298.261407,1.3,93
    Tottenham Hotspur  ,1289.212498,1.5,86
      Manchester City,1268.685303,1.025,78
            Liverpool  ,1263.539597,0.9,76
    Manchester United ,1255.065268,0.625,69
              Arsenal ,1254.251535,0.825,75
              Everton  ,1224.535005,0.45,61
      AFC Bournemouth ,1184.924149,-0.3,46
          Southampton,1182.30209,-0.175,46
      West Ham United,1180.929026,-0.425,45
       Leicester City,1179.447161,-0.375,44
           Stoke City ,1179.209284,-0.375,44
 West Bromwich Albion  ,1177.226468,-0.2,45
         Swansea City,1169.062082,-0.625,41
       Crystal Palace,1168.708518,-0.325,41
              Burnley ,1164.037453,-0.4,40
              Watford,1162.636318,-0.7,40
            Hull City,1148.594255,-1.075,34
        Middlesbrough,1135.773957,-0.65,28
           Sunderland,1119.164661,-1,24